page	line	left	right	word	line_text	ptbr_hyphenation	valid_positions
27	9	lin	kage	linkage	        O linkage de bases de dados, também denominado vinculação de registros (record lin-	linka-ge	5
32	20	inter	avaliadores	interavaliadores	(clerical review), procedimento dispendioso, pouco escalável e sujeito à variabilidade inter-	in-te-ra-va-li-a-do-res	2,4,6,8,10,11,13
34	13	lin	kage	linkage	   combinada de sobreamostragem e subamostragem especificamente desenhada para lin-	linka-ge	5
