mode;exp_precision_mean;exp_precision_std;exp_recall_mean;exp_recall_std;exp_f1_mean;exp_f1_std;exp_fbeta_mean;exp_fbeta_std;auto_precision_mean;auto_precision_std;auto_recall_mean;auto_recall_std;auto_f1_mean;auto_f1_std;llm_used_mean;llm_used_std;n_runs
confirmacao;0.9471353906485614;0.008323983843016153;0.936391836734694;0.02631569940141099;0.9415066996943757;0.012866591095157726;0.9448202777970118;0.0073119240246609;1.0;0.0;0.928392493964011;0.05775240913270236;0.961967568944779;0.031287545164519724;88.44;12.352732491234482;25
vigilancia;0.9355149018155293;0.011163523735271566;0.9648734693877552;0.019948246241544343;0.9497897586719732;0.00893453127856131;0.9587387465749652;0.014952085990361703;1.0;0.0;0.9754554329234449;0.023178180469764217;0.9874405558229228;0.011957797245390428;84.16;11.444358144226934;25
