mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;guardrails_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta;ablation;platt_intercept;platt_slope
vigilancia;2.0;comprec;123;0.3;True;True;True;platt;43329;18367;173;74;2000;385;437;385;0.9790384929493112;17.0;0.0;24.0;17941.0;1.0;0.4146341463414634;0.5862068965517241;0.4696132596685083;50.0;0.0;24.0;18293.0;1.0;0.6756756756756757;0.8064516129032258;0.7225433526011561;48.05;15.760000000000002;25.950000000000003;18277.239999999998;0.7530167685315781;0.6493243243243243;0.6973369131412814;0.6677135154664962;cal=platt;-18.73108649840636;2.1466042161926295
vigilancia;2.0;comprec;456;0.3;True;True;True;platt;42979;18717;173;74;2000;451;512;451;0.9759042581610301;20.0;0.0;15.0;18231.0;1.0;0.5714285714285714;0.7272727272727273;0.625;59.0;0.0;15.0;18643.0;1.0;0.7972972972972973;0.8872180451127819;0.8309859154929577;56.580000000000005;18.62;17.42;18624.38;0.7523936170212766;0.7645945945945947;0.7584450402144772;0.7621228448275862;cal=platt;-17.933095278746567;2.0441921153312532
vigilancia;2.0;comprec;789;0.3;True;True;True;platt;43497;18199;173;74;2000;410;472;410;0.9774712896312984;19.0;1.0;22.0;17747.0;0.95;0.4634146341463415;0.6229508196721312;0.5163043478260869;52.0;1.0;22.0;18124.0;0.9811320754716981;0.7027027027027027;0.8188976377952756;0.7449856733524355;49.8;17.62;24.2;18107.38;0.7386532186294867;0.672972972972973;0.7042851081883751;0.6851576688129437;cal=platt;-18.861445151976465;2.1638315124294465
vigilancia;2.0;comprec;2024;0.3;True;True;True;platt;43230;18466;173;74;2000;406;471;406;0.978013646702047;21.0;0.0;23.0;18016.0;1.0;0.4772727272727273;0.6461538461538462;0.5329949238578681;51.0;0.0;23.0;18392.0;1.0;0.6891891891891891;0.816;0.7348703170028819;49.16;16.62;24.84;18375.38;0.7473396169048342;0.6643243243243243;0.7033910430676777;0.6794184310907181;cal=platt;-19.02330206690997;2.191611540045568
confirmacao;0.5;comprec;42;0.3;True;True;True;platt;43361;18335;173;74;1000;109;116;109;0.9940550859012817;12.0;0.0;35.0;18179.0;1.0;0.2553191489361702;0.4067796610169492;0.631578947368421;39.0;0.0;35.0;18261.0;1.0;0.527027027027027;0.6902654867256637;0.8478260869565217;37.84;2.94;36.16;18258.06;0.9279058361942129;0.5113513513513513;0.6593483185223907;0.7979082321187585;cal=platt;-18.32652389386063;2.0916968949583588
confirmacao;0.5;comprec;123;0.3;True;True;True;platt;43329;18367;173;74;1000;123;134;123;0.9933032068383514;8.0;0.0;32.0;18204.0;1.0;0.2;0.3333333333333333;0.5555555555555556;42.0;0.0;32.0;18293.0;1.0;0.5675675675675675;0.7241379310344828;0.8677685950413223;40.44;3.18;33.56;18289.82;0.9270976616231087;0.5464864864864865;0.6876381567760584;0.8137475853187379;cal=platt;-18.73108649840636;2.1466042161926295
confirmacao;0.5;comprec;456;0.3;True;True;True;platt;42979;18717;173;74;1000;139;144;139;0.9925735961959716;9.0;0.0;29.0;18540.0;1.0;0.23684210526315788;0.3829787234042553;0.6081081081081081;45.0;0.0;29.0;18643.0;1.0;0.6081081081081081;0.7563025210084033;0.8858267716535433;43.37;3.78;30.63;18639.22;0.9198303287380699;0.586081081081081;0.7159719356170037;0.8257806549885759;cal=platt;-17.933095278746567;2.0441921153312532
confirmacao;0.5;comprec;789;0.3;True;True;True;platt;43497;18199;173;74;1000;126;132;126;0.9930765426671795;11.0;0.0;36.0;18026.0;1.0;0.23404255319148937;0.3793103448275862;0.6043956043956044;38.0;0.0;36.0;18125.0;1.0;0.5135135135135135;0.6785714285714286;0.8407079646017699;36.72;3.59;37.28;18121.41;0.910940213346564;0.4962162162162162;0.6424634765112414;0.7804795102873661;cal=platt;-18.861445151976465;2.1638315124294465
confirmacao;0.5;comprec;2024;0.3;True;True;True;platt;43230;18466;173;74;1000;121;128;121;0.9934474168742554;12.0;0.0;35.0;18298.0;1.0;0.2553191489361702;0.4067796610169492;0.631578947368421;39.0;0.0;35.0;18392.0;1.0;0.527027027027027;0.6902654867256637;0.8478260869565217;37.89;3.46;36.11;18388.54;0.9163240628778718;0.5120270270270271;0.6569570871261379;0.7913533834586466;cal=platt;-19.02330206690997;2.191611540045568
vigilancia;2.0;comprec;42;0.3;True;True;True;stub;43361;18335;173;74;2000;2000;18300;2000;0.890919007362967;72.0;12246.0;0.0;4017.0;0.0058451047247929854;1.0;0.01162227602905569;0.028557829604950024;74.0;12246.0;0.0;6015.0;0.006006493506493507;1.0;0.0119412619009198;0.029327837666455296;73.94;12442.400000000001;0.06;5818.6;0.0059074777450916155;0.9991891891891892;0.011745512829677354;0.028854994481882307;cal=stub;;
vigilancia;2.0;comprec;123;0.3;True;True;True;stub;43329;18367;173;74;2000;2000;18329;2000;0.8911090542821365;72.0;12316.0;0.0;3979.0;0.005812076202776881;1.0;0.011556982343499198;0.028400126222783213;74.0;12316.0;0.0;5977.0;0.005972558514931396;1.0;0.011874197689345315;0.02916600977455463;73.91;12512.340000000002;0.09;5780.660000000001;0.005872281259310754;0.9987837837837837;0.011675914772615073;0.028686758912457054;cal=stub;;
vigilancia;2.0;comprec;456;0.3;True;True;True;stub;42979;18717;173;74;2000;2000;18677;2000;0.8931452690067853;70.0;12657.0;0.0;3990.0;0.005500117859668421;1.0;0.010940064077518168;0.02690858768355501;74.0;12657.0;0.0;5986.0;0.005812583457701673;1.0;0.011557985162046076;0.028402548553005297;73.72;12852.24;0.28;5790.76;0.0057032514412855995;0.9962162162162163;0.011341573358687258;0.02787786379629042;cal=stub;;
