mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;guardrails_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta;fp_fn_ratio;sweep;llm_budget
vigilancia;2.0;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;2000;112;119;112;0.9939021070397996;54.0;0.0;3.0;18198.0;1.0;0.9473684210526315;0.972972972972973;0.9574468085106383;71.0;0.0;3.0;18293.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.77;4.04;4.23;18288.96;0.945264869258908;0.9428378378378378;0.9440497936540154;0.9433222465590437;0.2;cost_ratio;
vigilancia;2.0;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;2000;160;180;160;0.9914516215205428;61.0;0.0;0.0;18496.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;73.17;6.7;0.83;18636.3;0.9161136847376987;0.9887837837837838;0.9510625852992786;0.9733418469151569;0.2;cost_ratio;
vigilancia;2.0;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;2000;126;137;126;0.9930765426671795;61.0;0.0;0.0;18012.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18125.0;1.0;1.0;1.0;1.0;72.98;5.05;1.02;18119.95;0.9352813020633091;0.9862162162162162;0.9600736696704596;0.9755901933000027;0.2;cost_ratio;
vigilancia;2.0;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;2000;115;129;115;0.9937723383515651;53.0;0.0;3.0;18295.0;1.0;0.9464285714285714;0.9724770642201835;0.9566787003610109;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.57000000000001;4.04;4.430000000000001;18387.96;0.9451161526966444;0.940135135135135;0.9426190637490685;0.9411271340061145;0.2;cost_ratio;
confirmacao;0.5;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;1000;104;116;104;0.9943277883828743;59.0;0.0;1.0;18171.0;1.0;0.9833333333333333;0.9915966386554622;0.9966216216216216;73.0;0.0;1.0;18261.0;1.0;0.9864864864864865;0.9931972789115646;0.9972677595628415;72.02000000000001;3.72;1.9799999999999998;18257.28;0.950884605228413;0.9732432432432432;0.9619340189662082;0.9552737691001697;0.2;cost_ratio;
confirmacao;0.5;comprec;123;0.3;True;True;True;ml_rf;43329;18367;173;74;1000;112;118;112;0.9939021070397996;48.0;0.0;3.0;18204.0;1.0;0.9411764705882353;0.9696969696969697;0.9876543209876543;71.0;0.0;3.0;18293.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;69.49;3.8600000000000003;4.51;18289.14;0.9473755964553511;0.939054054054054;0.9431964709874449;0.9456995100707676;0.2;cost_ratio;
confirmacao;0.5;comprec;456;0.3;True;True;True;ml_rf;42979;18717;173;74;1000;162;182;162;0.9913447667895496;55.0;0.0;0.0;18500.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18643.0;1.0;1.0;1.0;1.0;72.88000000000001;6.46;1.12;18636.54;0.9185782707335519;0.9848648648648648;0.9505673666362331;0.9311120196238758;0.2;cost_ratio;
confirmacao;0.5;comprec;789;0.3;True;True;True;ml_rf;43497;18199;173;74;1000;129;139;129;0.9929116984449695;55.0;0.0;0.0;18015.0;1.0;1.0;1.0;1.0;74.0;0.0;0.0;18125.0;1.0;1.0;1.0;1.0;72.65;4.8100000000000005;1.35;18120.19;0.9379034340304673;0.9817567567567569;0.9593291958272812;0.9463578574406002;0.2;cost_ratio;
confirmacao;0.5;comprec;2024;0.3;True;True;True;ml_rf;43230;18466;173;74;1000;120;134;120;0.993501570453807;44.0;0.0;3.0;18299.0;1.0;0.9361702127659575;0.967032967032967;0.9865470852017937;71.0;0.0;3.0;18392.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;69.15;3.86;4.85;18388.14;0.9471305300643748;0.9344594594594595;0.9407523297734848;0.9445688995738171;0.2;cost_ratio;
vigilancia;2.0;comprec;42;0.3;True;True;True;ml_rf;43361;18335;173;74;2000;98;110;98;0.9946550313607854;62.0;0.0;1.0;18174.0;1.0;0.9841269841269841;0.992;0.9872611464968153;73.0;0.0;1.0;18261.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;72.25;3.5200000000000005;1.75;18257.48;0.9535436188465092;0.9763513513513513;0.9648127128263336;0.9717029346101085;0.5;cost_ratio;
