llm_budget;mode;exp_precision_mean;exp_precision_std;exp_recall_mean;exp_recall_std;exp_f1_mean;exp_f1_std;exp_fbeta_mean;exp_fbeta_std;llm_used_mean;llm_used_std;review_requested_mean;review_requested_std;n_runs
0.0;confirmacao;1.0;0.0;0.8162162162162163;0.055388923059241084;0.8979828185454783;0.03388632177515717;0.9562642979042162;0.015478154075459188;0.0;0.0;135.2;21.475567512873788;5
0.0;vigilancia;0.7442501743987153;0.09658655008911368;0.9648648648648649;0.026342687418402615;0.8366114906434209;0.06087430536412584;0.9076628457974347;0.026545635162335688;0.0;0.0;136.4;25.66709956344893;5
50.0;confirmacao;0.9704522276795139;0.003000483234747092;0.8307837837837837;0.06720982321068614;0.894120516505278;0.0403621379046909;0.9380816316966843;0.01945649159483746;50.0;0.0;135.2;21.475567512873788;5
50.0;vigilancia;0.7560666700193834;0.08799043153337355;0.9637837837837837;0.025132410488767205;0.8443104063202446;0.053123227667135335;0.911012623684071;0.02243975218571088;50.0;0.0;136.4;25.66709956344893;5
100.0;confirmacao;0.9574455416301134;0.002111374822059874;0.9418918918918919;0.022363333825278883;0.9494973891524762;0.01154018825876372;0.9542236365087632;0.005012550336828603;100.0;0.0;135.2;21.475567512873788;5
100.0;vigilancia;0.9125907743175491;0.08716109961709914;0.9587297297297297;0.028643325614607383;0.9323236452418187;0.04178319930209422;0.9471818139542;0.017173958444899558;100.0;0.0;136.4;25.66709956344893;5
200.0;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;126.2;19.3700800204852;135.2;21.475567512873788;5
200.0;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;123.6;21.709444949145983;136.4;25.66709956344893;5
500.0;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;126.2;19.3700800204852;135.2;21.475567512873788;5
500.0;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;123.6;21.709444949145983;136.4;25.66709956344893;5
1000.0;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;126.2;19.3700800204852;135.2;21.475567512873788;5
1000.0;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;123.6;21.709444949145983;136.4;25.66709956344893;5
2000.0;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;126.2;19.3700800204852;135.2;21.475567512873788;5
2000.0;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;123.6;21.709444949145983;136.4;25.66709956344893;5
5000.0;confirmacao;0.9481219962850476;0.01215481541195021;0.945027027027027;0.023291982211788582;0.9463391570661889;0.00833867661082114;0.9473529396148639;0.0072148579940656665;126.2;19.3700800204852;135.2;21.475567512873788;5
5000.0;vigilancia;0.937962864787659;0.013139453426138622;0.9668648648648649;0.02364679529417134;0.9519583329066261;0.008902151109055312;0.9607871355571543;0.017056420828458648;123.6;21.709444949145983;136.4;25.66709956344893;5
