config,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
Hybrid-AND GB ≥0.5 + Rules≥7,0.9887005649717514,0.01597981426410278,0.6963463610539721,0.0017315769937960685,0.8171165195503173,0.006173760950166154
Hybrid-AND GB ≥0.6 + Rules≥6,0.9750969102039835,0.006394989493478986,0.7853364678225097,0.0215109538450605,0.8697448608793449,0.010952936225389462
Hybrid-AND RF+SMOTE ≥0.5 + Rules≥7,0.9517694509497788,0.03388458263689068,0.7084925066118131,0.01009507902324539,0.8122124188297087,0.01898274269266665
ML-only GB ≥0.5,0.9477422459101339,0.011160784293188,0.8826035850719953,0.024988617917387542,0.9138785858557208,0.016601321073915345
Rules-only ≥7,0.8974358974358975,0.014504754485877899,0.7084925066118131,0.01009507902324539,0.7918428632714347,0.011759285543349405
