config,category,precision,recall,f1,tp,fp,fn,tn,auc_roc
Hybrid-OR RF+SMOTE ≥0.9 + Rules≥9,hybrid-or,1.0,0.7297297297297297,0.84375,54,0,20,18435,0.9999376919637294
Cascade Rules→ML Rules≥6 → GB ≥0.5,cascade-rules-ml,1.0,0.7297297297297297,0.84375,54,0,20,18435,0.9457678182657842
Consensus+Rules majority(th=0.5) AND Rules≥7,consensus-hybrid,1.0,0.7297297297297297,0.84375,54,0,20,18435,
Rules-only (≥6),rules-only,0.8205128205128205,0.8648648648648649,0.8421052631578947,64,14,10,18421,
Hybrid-AND RF+SMOTE ≥0.6 + Rules≥7,hybrid-and,1.0,0.7162162162162162,0.8346456692913385,53,0,21,18435,0.9999376919637294
Hybrid-AND RF+SMOTE ≥0.7 + Rules≥7,hybrid-and,1.0,0.7027027027027027,0.8253968253968254,52,0,22,18435,0.9999376919637294
Consensus+Rules majority(th=0.7) AND Rules≥7,consensus-hybrid,1.0,0.7027027027027027,0.8253968253968254,52,0,22,18435,
Rules-only (≥7),rules-only,0.8870967741935484,0.7432432432432432,0.8088235294117647,55,7,19,18428,
Cascade ML→Rules GB ≥0.3 → Rules≥7,cascade-ml-rules,1.0,0.6621621621621622,0.7967479674796748,49,0,25,18435,0.9457678182657842
Hybrid-AND GB ≥0.7 + Rules≥7,hybrid-and,1.0,0.6486486486486487,0.7868852459016393,48,0,26,18435,0.9457678182657842
Cascade ML→Rules GB ≥0.5 → Rules≥7,cascade-ml-rules,1.0,0.6486486486486487,0.7868852459016393,48,0,26,18435,0.9457678182657842
Hybrid-AND GB ≥0.6 + Rules≥7,hybrid-and,1.0,0.6486486486486487,0.7868852459016393,48,0,26,18435,0.9457678182657842
Hybrid-AND GB ≥0.5 + Rules≥7,hybrid-and,1.0,0.6486486486486487,0.7868852459016393,48,0,26,18435,0.9457678182657842
Cascade ML→Rules RF+SMOTE ≥0.5 → Rules≥8,cascade-ml-rules,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435,0.9999376919637294
Hybrid-AND RF+SMOTE ≥0.5 + Rules≥8,hybrid-and,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435,0.9999376919637294
Rules-only (≥8),rules-only,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435,
Cascade ML→Rules RF+SMOTE ≥0.3 → Rules≥8,cascade-ml-rules,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435,0.9999376919637294
Hybrid-AND RF+SMOTE ≥0.7 + Rules≥8,hybrid-and,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435,0.9999376919637294
Hybrid-AND RF+SMOTE ≥0.6 + Rules≥8,hybrid-and,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435,0.9999376919637294
Hybrid-AND GB ≥0.5 + Rules≥8,hybrid-and,1.0,0.4459459459459459,0.616822429906542,33,0,41,18435,0.9457678182657842
Cascade ML→Rules GB ≥0.3 → Rules≥8,cascade-ml-rules,1.0,0.4459459459459459,0.616822429906542,33,0,41,18435,0.9457678182657842
Hybrid-AND GB ≥0.7 + Rules≥8,hybrid-and,1.0,0.4459459459459459,0.616822429906542,33,0,41,18435,0.9457678182657842
Cascade ML→Rules GB ≥0.5 → Rules≥8,cascade-ml-rules,1.0,0.4459459459459459,0.616822429906542,33,0,41,18435,0.9457678182657842
Hybrid-AND GB ≥0.6 + Rules≥8,hybrid-and,1.0,0.4459459459459459,0.616822429906542,33,0,41,18435,0.9457678182657842
Naive score≥8,naive-threshold,0.6417910447761194,0.581081081081081,0.6099290780141844,43,24,31,18411,
Naive score≥9,naive-threshold,1.0,0.4189189189189189,0.5904761904761905,31,0,43,18435,
Rules-only (≥9),rules-only,1.0,0.3243243243243243,0.4897959183673469,24,0,50,18435,
Naive score≥7,naive-threshold,0.1435643564356435,0.7837837837837838,0.2426778242677824,58,346,16,18089,
ML-only XGBoost (>=0.3),ml-only,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431,0.9994377616021228
ML-only XGBoost (>=0.5),ml-only,0.9850746268656716,0.8918918918918919,0.9361702127659575,66,1,8,18434,0.9994377616021228
ML-only XGBoost (>=0.7),ml-only,1.0,0.8918918918918919,0.9428571428571428,66,0,8,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.5 + Rules>=5,hybrid-and,1.0,0.28378378378378377,0.4421052631578947,21,0,53,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.5 + Rules>=6,hybrid-and,1.0,0.08108108108108109,0.15,6,0,68,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.5 + Rules>=7,hybrid-and,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.5 + Rules>=8,hybrid-and,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.6 + Rules>=5,hybrid-and,1.0,0.28378378378378377,0.4421052631578947,21,0,53,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.6 + Rules>=6,hybrid-and,1.0,0.08108108108108109,0.15,6,0,68,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.6 + Rules>=7,hybrid-and,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.6 + Rules>=8,hybrid-and,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.7 + Rules>=5,hybrid-and,1.0,0.28378378378378377,0.4421052631578947,21,0,53,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.7 + Rules>=6,hybrid-and,1.0,0.08108108108108109,0.15,6,0,68,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.7 + Rules>=7,hybrid-and,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Hybrid-AND XGBoost >=0.7 + Rules>=8,hybrid-and,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Hybrid-OR XGBoost >=0.7 + Rules>=8,hybrid-or,1.0,0.8918918918918919,0.9428571428571428,66,0,8,18435,0.9994377616021228
Hybrid-OR XGBoost >=0.7 + Rules>=9,hybrid-or,1.0,0.8918918918918919,0.9428571428571428,66,0,8,18435,0.9994377616021228
Hybrid-OR XGBoost >=0.9 + Rules>=8,hybrid-or,1.0,0.7972972972972973,0.8872180451127819,59,0,15,18435,0.9994377616021228
Hybrid-OR XGBoost >=0.9 + Rules>=9,hybrid-or,1.0,0.7972972972972973,0.8872180451127819,59,0,15,18435,0.9994377616021228
Cascade XGBoost >=0.3 -> Rules>=7,cascade-ml-rules,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Cascade XGBoost >=0.3 -> Rules>=8,cascade-ml-rules,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Cascade XGBoost >=0.5 -> Rules>=7,cascade-ml-rules,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Cascade XGBoost >=0.5 -> Rules>=8,cascade-ml-rules,0.0,0.0,0.0,0,0,74,18435,0.9994377616021228
Cascade Rules>=5 -> XGBoost >=0.5,cascade-rules-ml,1.0,0.28378378378378377,0.4421052631578947,21,0,53,18435,0.9994377616021228
Cascade Rules>=5 -> XGBoost >=0.7,cascade-rules-ml,1.0,0.28378378378378377,0.4421052631578947,21,0,53,18435,0.9994377616021228
Cascade Rules>=6 -> XGBoost >=0.5,cascade-rules-ml,1.0,0.08108108108108109,0.15,6,0,68,18435,0.9994377616021228
Cascade Rules>=6 -> XGBoost >=0.7,cascade-rules-ml,1.0,0.08108108108108109,0.15,6,0,68,18435,0.9994377616021228
"Consensus-ML XGBoost majority (th=0.5, 3 models)",consensus-ml,0.9850746268656716,0.8918918918918919,0.9361702127659575,66,1,8,18434,0.999874650891738
Consensus+Rules XGBoost majority (th=0.5) + Rules>=6,consensus-hybrid,1.0,0.08108108108108109,0.15,6,0,68,18435,0.999874650891738
Consensus+Rules XGBoost majority (th=0.5) + Rules>=7,consensus-hybrid,0.0,0.0,0.0,0,0,74,18435,0.999874650891738
"Consensus-ML XGBoost majority (th=0.7, 3 models)",consensus-ml,1.0,0.8918918918918919,0.9428571428571428,66,0,8,18435,0.999874650891738
Consensus+Rules XGBoost majority (th=0.7) + Rules>=6,consensus-hybrid,1.0,0.08108108108108109,0.15,6,0,68,18435,0.999874650891738
Consensus+Rules XGBoost majority (th=0.7) + Rules>=7,consensus-hybrid,0.0,0.0,0.0,0,0,74,18435,0.999874650891738
