Config;exp_precision_mean;exp_precision_std;exp_recall_mean;exp_recall_std;exp_f1_mean;exp_f1_std;exp_fbeta_mean;exp_fbeta_std;auto_coverage_mean;auto_coverage_std;llm_used_mean;llm_used_std;n_runs
confirmacao | split=comprec | cal=ml_rf | macd=off;0.9485692900573337;0.0063391489725812085;0.9372162162162162;0.018822534402009455;0.9427540591415845;0.008858377258814618;0.9462089677027455;0.005057417808328828;0.9924895808107455;0.0006942635682760793;138.4;12.157302332343306;5
vigilancia | split=comprec | cal=ml_rf | macd=off;0.9344370866856553;0.009411121630602447;0.9640540540540542;0.01312481520966304;0.9489205573739931;0.00422882107253405;0.9579195565407523;0.008989477571603188;0.9930556631014305;0.0005641076472164948;128.0;10.148891565092223;5
