Config;exp_precision_mean;exp_precision_std;exp_recall_mean;exp_recall_std;exp_f1_mean;exp_f1_std;exp_fbeta_mean;exp_fbeta_std;auto_coverage_mean;auto_coverage_std;llm_used_mean;llm_used_std;n_runs
confirmacao | split=comprec | cal=ml_rf | macd=on;0.9567942786064968;0.004017655844750314;0.938027027027027;0.022582653963691426;0.9471878865962202;0.01089789426022385;0.9528961040112156;0.004426928298810042;0.9938180006705515;0.0003463559098261622;114.0;7.24568837309472;5
vigilancia | split=comprec | cal=ml_rf | macd=on;0.9466760314107763;0.006267876296631219;0.9615675675675674;0.013435789998556793;0.953996905459545;0.005381474597320903;0.9585086258722552;0.009984039042050516;0.9940682025939346;0.0004731481975455321;109.4;9.555103348473004;5
