mode;beta;split_by;seed;test_size;group_stratify;macd_enabled;calibration;n_train;n_test;pos_train;pos_test;llm_max;llm_used;review_requested;review_selected;auto_coverage;auto_tp;auto_fp;auto_fn;auto_tn;auto_precision;auto_recall;auto_f1;auto_fbeta;oracle_tp;oracle_fp;oracle_fn;oracle_tn;oracle_precision;oracle_recall;oracle_f1;oracle_fbeta;exp_tp;exp_fp;exp_fn;exp_tn;exp_precision;exp_recall;exp_f1;exp_fbeta
vigilancia;2.0;comprec;42;0.3;True;False;ml_rf;43361;18335;173;74;2000;135;151;135;0.9926370329970002;62.0;0.0;1.0;18137.0;1.0;0.9841269841269841;0.992;0.9872611464968153;73.0;0.0;1.0;18261.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;72.23;5.72;1.77;18255.28;0.9266196279666453;0.9760810810810812;0.950707469562356;0.9657708249766012
vigilancia;2.0;comprec;43;0.3;True;False;ml_rf;43298;18398;173;74;2000;141;155;141;0.9923361234916839;59.0;0.0;1.0;18197.0;1.0;0.9833333333333333;0.9915966386554622;0.9866220735785953;73.0;0.0;1.0;18324.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;72.09;6.079999999999999;1.91;18317.92;0.9222208008187285;0.9741891891891893;0.9474929355326279;0.9633321752144748
vigilancia;2.0;comprec;44;0.3;True;False;ml_rf;43014;18682;173;74;2000;124;129;124;0.9933625950112408;45.0;0.0;1.0;18512.0;1.0;0.9782608695652174;0.989010989010989;0.982532751091703;73.0;0.0;1.0;18608.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;71.02;4.25;2.98;18603.75;0.9435366015676896;0.9597297297297297;0.9515642794935353;0.9564467907452797
vigilancia;2.0;comprec;45;0.3;True;False;ml_rf;43296;18400;173;74;2000;125;130;125;0.9932065217391305;54.0;0.0;1.0;18220.0;1.0;0.9818181818181818;0.9908256880733946;0.9854014598540146;73.0;0.0;1.0;18326.0;1.0;0.9864864864864865;0.9931972789115646;0.989159891598916;71.53;4.64;2.4699999999999998;18321.36;0.9390836287252199;0.9666216216216217;0.9526536591862557;0.9609855711099766
vigilancia;2.0;comprec;46;0.3;True;False;ml_rf;43337;18359;173;74;2000;115;122;115;0.9937360422680974;58.0;0.0;3.0;18183.0;1.0;0.9508196721311475;0.9747899159663865;0.9602649006622517;71.0;0.0;3.0;18285.0;1.0;0.9594594594594594;0.9793103448275862;0.9673024523160763;69.83000000000001;4.3999999999999995;4.17;18280.6;0.9407247743499932;0.9436486486486486;0.94218444309519;0.9430624206574292
confirmacao;0.5;comprec;42;0.3;True;False;ml_rf;43361;18335;173;74;1000;144;159;144;0.9921461685301336;28.0;0.0;1.0;18162.0;1.0;0.9655172413793104;0.9824561403508771;0.9929078014184397;73.0;0.0;1.0;18261.0;1.0;0.9864864864864865;0.9931972789115646;0.9972677595628415;70.63999999999999;4.239999999999999;3.3600000000000003;18256.760000000002;0.9433760683760685;0.9545945945945946;0.9489521762493281;0.9455986292568002
confirmacao;0.5;comprec;43;0.3;True;False;ml_rf;43298;18398;173;74;1000;153;163;153;0.9916838786824654;17.0;0.0;1.0;18227.0;1.0;0.9444444444444444;0.9714285714285714;0.9883720930232558;73.0;0.0;1.0;18324.0;1.0;0.9864864864864865;0.9931972789115646;0.9972677595628415;70.06;4.42;3.94;18319.58;0.9406552094522019;0.9467567567567567;0.9436961206896552;0.9418692191869219
confirmacao;0.5;comprec;44;0.3;True;False;ml_rf;43014;18682;173;74;1000;123;125;123;0.9934161224708276;29.0;0.0;1.0;18529.0;1.0;0.9666666666666667;0.9830508474576272;0.9931506849315068;73.0;0.0;1.0;18608.0;1.0;0.9864864864864865;0.9931972789115646;0.9972677595628415;70.26999999999998;3.29;3.73;18604.71;0.9552746057640021;0.9495945945945945;0.9524261317430199;0.9541331740169453
confirmacao;0.5;comprec;45;0.3;True;False;ml_rf;43296;18400;173;74;1000;143;146;143;0.9922282608695652;13.0;0.0;3.0;18241.0;1.0;0.8125;0.896551724137931;0.9558823529411765;71.0;0.0;3.0;18326.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;67.38;3.54;6.620000000000001;18322.46;0.9500846023688663;0.9105405405405405;0.9298923544024289;0.9419033773205099
confirmacao;0.5;comprec;46;0.3;True;False;ml_rf;43337;18359;173;74;1000;129;135;129;0.9929734735007353;27.0;0.0;3.0;18200.0;1.0;0.9;0.9473684210526315;0.9782608695652174;71.0;0.0;3.0;18285.0;1.0;0.9594594594594594;0.9793103448275862;0.9916201117318436;68.42;3.3400000000000003;5.58;18281.66;0.9534559643255295;0.9245945945945946;0.9388035126234906;0.9475404387325504
