ml_model,ml_threshold,rules_threshold,precision,recall,f1,tp,fp,fn,tn
RF+SMOTE,0.2,7.5,0.9310344827586207,0.7297297297297297,0.8181818181818182,54,4,20,18431
RF+SMOTE,0.2,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.2,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.2,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.2,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.2,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.2,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.2,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.25,0.0,0.8202247191011236,0.9864864864864865,0.8957055214723927,73,16,1,18419
RF+SMOTE,0.25,0.5,0.8202247191011236,0.9864864864864865,0.8957055214723927,73,16,1,18419
RF+SMOTE,0.25,1.0,0.8202247191011236,0.9864864864864865,0.8957055214723927,73,16,1,18419
RF+SMOTE,0.25,1.5,0.8202247191011236,0.9864864864864865,0.8957055214723927,73,16,1,18419
RF+SMOTE,0.25,2.0,0.8295454545454546,0.9864864864864865,0.9012345679012346,73,15,1,18420
RF+SMOTE,0.25,2.5,0.8275862068965517,0.972972972972973,0.8944099378881988,72,15,2,18420
RF+SMOTE,0.25,3.0,0.8275862068965517,0.972972972972973,0.8944099378881988,72,15,2,18420
RF+SMOTE,0.25,3.5,0.8658536585365854,0.9594594594594594,0.9102564102564102,71,11,3,18424
RF+SMOTE,0.25,4.0,0.8658536585365854,0.9594594594594594,0.9102564102564102,71,11,3,18424
RF+SMOTE,0.25,4.5,0.8658536585365854,0.9594594594594594,0.9102564102564102,71,11,3,18424
RF+SMOTE,0.25,5.0,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.25,5.5,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.25,6.0,0.9696969696969697,0.8648648648648649,0.9142857142857143,64,2,10,18433
RF+SMOTE,0.25,6.5,0.9833333333333333,0.7972972972972973,0.8805970149253731,59,1,15,18434
RF+SMOTE,0.25,7.0,0.9821428571428571,0.7432432432432432,0.8461538461538461,55,1,19,18434
RF+SMOTE,0.25,7.5,0.9818181818181818,0.7297297297297297,0.8372093023255814,54,1,20,18434
RF+SMOTE,0.25,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.25,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.25,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.25,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.25,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.25,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.25,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.3,0.0,0.8690476190476191,0.9864864864864865,0.9240506329113924,73,11,1,18424
RF+SMOTE,0.3,0.5,0.8690476190476191,0.9864864864864865,0.9240506329113924,73,11,1,18424
RF+SMOTE,0.3,1.0,0.8690476190476191,0.9864864864864865,0.9240506329113924,73,11,1,18424
RF+SMOTE,0.3,1.5,0.8690476190476191,0.9864864864864865,0.9240506329113924,73,11,1,18424
RF+SMOTE,0.3,2.0,0.8690476190476191,0.9864864864864865,0.9240506329113924,73,11,1,18424
RF+SMOTE,0.3,2.5,0.8674698795180723,0.972972972972973,0.9171974522292994,72,11,2,18424
RF+SMOTE,0.3,3.0,0.8674698795180723,0.972972972972973,0.9171974522292994,72,11,2,18424
RF+SMOTE,0.3,3.5,0.8987341772151899,0.9594594594594594,0.9281045751633987,71,8,3,18427
RF+SMOTE,0.3,4.0,0.8987341772151899,0.9594594594594594,0.9281045751633987,71,8,3,18427
RF+SMOTE,0.3,4.5,0.8987341772151899,0.9594594594594594,0.9281045751633987,71,8,3,18427
RF+SMOTE,0.3,5.0,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.3,5.5,0.9701492537313433,0.8783783783783784,0.9219858156028369,65,2,9,18433
RF+SMOTE,0.3,6.0,0.9846153846153847,0.8648648648648649,0.920863309352518,64,1,10,18434
RF+SMOTE,0.3,6.5,0.9833333333333333,0.7972972972972973,0.8805970149253731,59,1,15,18434
RF+SMOTE,0.3,7.0,0.9821428571428571,0.7432432432432432,0.8461538461538461,55,1,19,18434
RF+SMOTE,0.3,7.5,0.9818181818181818,0.7297297297297297,0.8372093023255814,54,1,20,18434
RF+SMOTE,0.3,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.3,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.3,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.3,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.3,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.3,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.3,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.35,0.0,0.9113924050632911,0.972972972972973,0.9411764705882353,72,7,2,18428
RF+SMOTE,0.35,0.5,0.9113924050632911,0.972972972972973,0.9411764705882353,72,7,2,18428
RF+SMOTE,0.35,1.0,0.9113924050632911,0.972972972972973,0.9411764705882353,72,7,2,18428
RF+SMOTE,0.35,1.5,0.9113924050632911,0.972972972972973,0.9411764705882353,72,7,2,18428
RF+SMOTE,0.35,2.0,0.9113924050632911,0.972972972972973,0.9411764705882353,72,7,2,18428
RF+SMOTE,0.35,2.5,0.9102564102564102,0.9594594594594594,0.9342105263157895,71,7,3,18428
RF+SMOTE,0.35,3.0,0.9102564102564102,0.9594594594594594,0.9342105263157895,71,7,3,18428
RF+SMOTE,0.35,3.5,0.9342105263157895,0.9594594594594594,0.9466666666666667,71,5,3,18430
RF+SMOTE,0.35,4.0,0.9342105263157895,0.9594594594594594,0.9466666666666667,71,5,3,18430
RF+SMOTE,0.35,4.5,0.9342105263157895,0.9594594594594594,0.9466666666666667,71,5,3,18430
RF+SMOTE,0.35,5.0,1.0,0.8783783783783784,0.935251798561151,65,0,9,18435
RF+SMOTE,0.35,5.5,1.0,0.8783783783783784,0.935251798561151,65,0,9,18435
RF+SMOTE,0.35,6.0,1.0,0.8648648648648649,0.927536231884058,64,0,10,18435
RF+SMOTE,0.35,6.5,1.0,0.7972972972972973,0.8872180451127819,59,0,15,18435
RF+SMOTE,0.35,7.0,1.0,0.7432432432432432,0.8527131782945736,55,0,19,18435
RF+SMOTE,0.35,7.5,1.0,0.7297297297297297,0.84375,54,0,20,18435
RF+SMOTE,0.35,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.35,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.35,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.35,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.35,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.35,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.35,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.4,0.0,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,0.5,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,1.0,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,1.5,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,2.0,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,2.5,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,3.0,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,3.5,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,4.0,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,4.5,0.9452054794520548,0.9324324324324325,0.9387755102040817,69,4,5,18431
RF+SMOTE,0.4,5.0,1.0,0.8648648648648649,0.927536231884058,64,0,10,18435
RF+SMOTE,0.4,5.5,1.0,0.8648648648648649,0.927536231884058,64,0,10,18435
RF+SMOTE,0.4,6.0,1.0,0.8513513513513513,0.9197080291970803,63,0,11,18435
RF+SMOTE,0.4,6.5,1.0,0.7837837837837838,0.8787878787878788,58,0,16,18435
RF+SMOTE,0.4,7.0,1.0,0.7432432432432432,0.8527131782945736,55,0,19,18435
RF+SMOTE,0.4,7.5,1.0,0.7297297297297297,0.84375,54,0,20,18435
RF+SMOTE,0.4,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.4,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.4,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.4,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.4,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.4,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.4,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.45,0.0,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,0.5,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,1.0,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,1.5,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,2.0,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,2.5,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,3.0,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,3.5,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,4.0,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,4.5,0.9444444444444444,0.918918918918919,0.9315068493150684,68,4,6,18431
RF+SMOTE,0.45,5.0,1.0,0.8513513513513513,0.9197080291970803,63,0,11,18435
RF+SMOTE,0.45,5.5,1.0,0.8513513513513513,0.9197080291970803,63,0,11,18435
RF+SMOTE,0.45,6.0,1.0,0.8378378378378378,0.9117647058823529,62,0,12,18435
RF+SMOTE,0.45,6.5,1.0,0.7702702702702703,0.8702290076335878,57,0,17,18435
RF+SMOTE,0.45,7.0,1.0,0.7432432432432432,0.8527131782945736,55,0,19,18435
RF+SMOTE,0.45,7.5,1.0,0.7297297297297297,0.84375,54,0,20,18435
RF+SMOTE,0.45,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.45,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.45,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.45,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.45,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.45,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.45,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.5,0.0,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,0.5,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,1.0,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,1.5,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,2.0,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,2.5,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,3.0,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,3.5,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,4.0,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,4.5,0.9571428571428572,0.9054054054054054,0.9305555555555556,67,3,7,18432
RF+SMOTE,0.5,5.0,1.0,0.8378378378378378,0.9117647058823529,62,0,12,18435
RF+SMOTE,0.5,5.5,1.0,0.8378378378378378,0.9117647058823529,62,0,12,18435
RF+SMOTE,0.5,6.0,1.0,0.8243243243243243,0.9037037037037037,61,0,13,18435
RF+SMOTE,0.5,6.5,1.0,0.7567567567567568,0.8615384615384616,56,0,18,18435
RF+SMOTE,0.5,7.0,1.0,0.7432432432432432,0.8527131782945736,55,0,19,18435
RF+SMOTE,0.5,7.5,1.0,0.7297297297297297,0.84375,54,0,20,18435
RF+SMOTE,0.5,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.5,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.5,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.5,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.5,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.5,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.5,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.55,0.0,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,0.5,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,1.0,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,1.5,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,2.0,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,2.5,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,3.0,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,3.5,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,4.0,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,4.5,0.9565217391304348,0.8918918918918919,0.9230769230769231,66,3,8,18432
RF+SMOTE,0.55,5.0,1.0,0.8243243243243243,0.9037037037037037,61,0,13,18435
RF+SMOTE,0.55,5.5,1.0,0.8243243243243243,0.9037037037037037,61,0,13,18435
RF+SMOTE,0.55,6.0,1.0,0.8108108108108109,0.8955223880597015,60,0,14,18435
RF+SMOTE,0.55,6.5,1.0,0.7432432432432432,0.8527131782945736,55,0,19,18435
RF+SMOTE,0.55,7.0,1.0,0.7297297297297297,0.84375,54,0,20,18435
RF+SMOTE,0.55,7.5,1.0,0.7162162162162162,0.8346456692913385,53,0,21,18435
RF+SMOTE,0.55,8.0,1.0,0.4864864864864865,0.6545454545454545,36,0,38,18435
RF+SMOTE,0.55,8.5,1.0,0.4594594594594595,0.6296296296296297,34,0,40,18435
RF+SMOTE,0.55,9.0,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.55,9.5,1.0,0.32432432432432434,0.4897959183673469,24,0,50,18435
RF+SMOTE,0.55,10.0,1.0,0.21621621621621623,0.35555555555555557,16,0,58,18435
RF+SMOTE,0.55,10.5,1.0,0.10810810810810811,0.1951219512195122,8,0,66,18435
RF+SMOTE,0.55,11.0,1.0,0.04054054054054054,0.07792207792207792,3,0,71,18435
RF+SMOTE,0.6,0.0,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.6,0.5,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
RF+SMOTE,0.6,1.0,0.9558823529411765,0.8783783783783784,0.9154929577464789,65,3,9,18432
