Modelo;Precision;Recall;F1-Score;AUC-ROC;AUC-PR
RF+SMOTE (th=0.2);0.7157;0.9865;0.8295;0.9999;0.9787
RF+SMOTE (th=0.3);0.8313;0.9324;0.879;0.9999;0.9787
RF+SMOTE (th=0.4);0.8846;0.9324;0.9079;0.9999;0.9787
