Modelo;Precision;Recall;F1-Score;AUC-ROC;AUC-PR
AdaBoost + SMOTE (th=0.3);0.0072;1.0;0.0142;0.9998;0.9749
Ensemble Soft (th=0.15);0.094;1.0;0.1719;0.9996;0.9588
RF + BorderlineSMOTE (th=0.3);0.8765;0.9595;0.9161;0.9999;0.9851
MLP + SMOTE (th=0.25);0.6283;0.9595;0.7594;0.9993;0.9606
RF + SMOTE (th=0.3);0.8313;0.9324;0.879;0.9999;0.9787
GB + SMOTE + Class Weight (th=0.3);0.8846;0.9324;0.9079;0.9997;0.9756
RF ClassWeight Extremo (th=0.3);0.9444;0.9189;0.9315;0.9999;0.9837
